id_observation,date,annee,mois,semaine,region_administrative,prefecture,zone_climatique,latitude,longitude,temperature_moyenne_c,temperature_min_c,temperature_max_c,precipitation_mm,precipitation_7j_mm,precipitation_30j_mm,humidite_relative_pct,vitesse_vent_kmh,jours_pluie_7j,humidite_sol_pct,indice_eau_stagnante,cas_paludisme_simules,taux_incidence_simule_pour_1000,niveau_risque
GN2025-00001,2025-01-23,2025,1,4,Boké,Boffa,côtier,10.18000,-14.04000,28.93,23.58,33.21,0.80,3.40,12.29,60.78,11.12,0,33.44,0.064,5,0.005,faible
GN2025-00002,2025-04-23,2025,4,17,Boké,Boké,côtier,10.94000,-14.29000,27.38,23.30,30.43,0.28,2.29,24.87,65.86,10.70,0,39.84,0.000,3,0.003,faible
GN2025-00003,2025-05-15,2025,5,20,Boké,Fria,côtier,10.37000,-13.58000,28.10,22.91,33.04,2.28,134.17,306.07,69.65,9.71,7,51.16,1.000,14,0.014,eleve
GN2025-00004,2025-11-16,2025,11,46,Boké,Gaoual,soudano-guinéen,11.75000,-13.20000,27.80,22.81,31.33,2.99,26.67,204.54,81.69,11.02,5,61.58,0.497,10,0.010,faible
GN2025-00005,2025-05-18,2025,5,20,Boké,Koundara,soudano-guinéen,12.48000,-13.30000,29.73,24.40,34.75,10.56,54.05,128.53,65.97,11.66,4,51.11,0.452,6,0.006,faible
GN2025-00006,2025-12-30,2025,12,1,Faranah,Dabola,soudano-guinéen,10.75000,-11.11000,27.46,24.20,31.55,24.34,88.41,207.32,75.79,9.10,6,55.95,0.794,11,0.011,moyen
GN2025-00007,2025-11-10,2025,11,46,Faranah,Dinguiraye,soudano-guinéen,11.30000,-10.72000,25.67,20.66,29.90,4.73,89.58,295.69,74.09,6.91,7,57.37,0.764,14,0.013,moyen
GN2025-00008,2025-03-07,2025,3,10,Faranah,Faranah,soudano-guinéen,10.04000,-10.74000,28.05,23.68,32.62,0.47,6.80,39.45,57.17,8.48,1,43.00,0.150,6,0.006,faible
GN2025-00009,2025-04-05,2025,4,14,Faranah,Kissidougou,forestier,9.18000,-10.10000,27.85,23.62,33.09,0.22,61.26,166.70,60.26,5.53,3,49.65,0.519,6,0.006,faible
GN2025-00010,2025-09-08,2025,9,37,Kankan,Kankan,soudano-guinéen,10.39000,-9.31000,28.09,24.30,33.27,17.84,81.43,254.50,86.28,10.85,6,65.10,0.836,8,0.008,moyen
GN2025-00011,2025-11-18,2025,11,47,Kankan,Kérouané,forestier,9.27000,-9.01000,26.78,21.65,32.04,3.06,142.89,621.31,76.58,6.73,6,81.28,1.000,7,0.007,eleve
GN2025-00012,2025-02-22,2025,2,8,Kankan,Kouroussa,soudano-guinéen,10.65000,-9.89000,29.88,25.78,33.20,0.32,13.75,32.44,59.63,11.17,1,36.91,0.219,3,0.003,faible
GN2025-00013,2025-01-08,2025,1,2,Kankan,Mandiana,soudano-guinéen,10.63000,-8.68000,29.67,26.14,33.72,0.20,41.58,41.99,58.62,7.14,1,43.11,0.304,3,0.003,faible
GN2025-00014,2025-05-31,2025,5,22,Kankan,Siguiri,soudano-guinéen,11.42000,-9.17000,30.44,26.77,34.04,11.63,41.75,106.23,64.46,5.81,3,53.51,0.398,7,0.007,faible
GN2025-00015,2025-08-01,2025,8,31,Kindia,Coyah,côtier,9.71000,-13.38000,27.30,21.94,31.60,0.31,483.08,1057.55,72.92,7.52,6,98.00,1.000,12,0.013,eleve
GN2025-00016,2025-11-23,2025,11,47,Kindia,Dubréka,côtier,9.79000,-13.52000,27.87,24.36,32.83,51.16,161.41,969.69,71.16,5.13,7,96.56,1.000,8,0.009,eleve
GN2025-00017,2025-10-13,2025,10,42,Kindia,Forécariah,côtier,9.43000,-13.09000,26.60,21.67,30.87,0.67,63.91,931.34,80.35,6.72,5,98.00,0.594,8,0.009,eleve
GN2025-00018,2025-10-05,2025,10,40,Kindia,Kindia,côtier,10.06000,-12.87000,26.22,22.69,30.15,0.95,242.64,1099.82,78.24,12.97,6,98.00,1.000,9,0.010,eleve
GN2025-00019,2025-01-08,2025,1,2,Kindia,Télimélé,soudano-guinéen,10.91000,-13.04000,28.96,24.46,32.05,0.59,3.12,3.60,58.79,7.96,0,33.01,0.058,6,0.006,faible
